idx,seed,n,file,status,obj_val,obj_bound,mip_gap,mip_gap_pct,runtime_s,node_count,sol_count,heur_cost,gurobi_cost,heur_gap_vs_gurobi_pct,optimal
30,1029,14,inst_030.json,9,103.73436545108706,101.94958608653154,0.01720528541139127,1.720528541139127,1800.0353119373322,1726644,10,105.55176377852816,103.73437364119972,1.7519652103115664,0
31,1030,15,inst_031.json,9,100.9481346532834,93.0350896961716,0.0783872330508133,7.83872330508133,1800.0221757888794,956826,10,103.17337902072917,100.94813776573665,2.2043410648708437,0
32,1031,15,inst_032.json,9,89.79630248947937,83.21305732916652,0.07331309839939296,7.331309839939296,1800.027221918106,1204615,10,92.03598651708622,89.79630248947957,2.49418290677285,0
33,1032,10,inst_033.json,2,85.0990923596195,85.09203710609165,8.29063311044208e-05,0.00829063311044208,31.289747953414917,36007,10,85.8810411058663,85.09909235961953,0.9188684915020463,1
34,1033,14,inst_034.json,9,113.21552518241211,109.88160560848415,0.029447547662357864,2.9447547662357865,1800.0309009552002,1544247,10,114.0770371882811,113.2155251831757,0.7609486452600236,0
35,1034,12,inst_035.json,9,101.47376377256067,100.81555872777032,0.0064864554178321885,0.6486455417832189,1800.1390309333801,3036012,10,102.44463749331469,101.47376417351336,0.9567727458510351,0
36,1035,12,inst_036.json,9,103.64523057785406,103.24882297302162,0.0038246584297449366,0.38246584297449365,1800.063082933426,3951485,10,104.4955155910477,103.64523101293985,0.8203798378351866,0
37,1036,10,inst_037.json,2,81.59283744183227,81.58524001017337,9.311395334577593e-05,0.009311395334577593,58.173503160476685,82880,10,81.94563566109025,81.5928374419253,0.4323887123254676,1
38,1037,10,inst_038.json,2,85.35857713407121,85.350649829356,9.287062860430175e-05,0.009287062860430174,17.410710096359253,32875,10,86.6866063843811,85.35857746536973,1.555823630671616,1
39,1038,10,inst_039.json,2,80.9794144244706,80.97160230031406,9.647049453327975e-05,0.009647049453327975,535.3825390338898,1993742,10,82.0816057609681,80.97941584951337,1.361074169148076,1
40,1039,12,inst_040.json,9,95.59033851656216,95.35194845541508,0.0024938719210181298,0.24938719210181298,1800.175127029419,4545251,10,97.25192054961673,95.59033852914766,1.7382321749623424,0
